,Disaster Type,Disaster Subtype,Country,Location,Start Year,Start Month,Start Day,End Year,End Month,End Day,No Deaths,No Missing,Total Deaths,No Injured,No Affected,No Homeless,Total Affected
16,Flood,,Bangladesh,"Central, Eastern",1983,4.0,,1983,4.0,,78.0,,78.0,,60000.0,,60000.0
17,Flood,,Bangladesh,,1983,7.0,,1983,7.0,,12.0,,12.0,,4000000.0,100000.0,4100000.0
18,Flood,,Bangladesh,,1983,9.0,,1983,9.0,,114.0,,114.0,,3000000.0,,3000000.0
19,Flood,,Bangladesh,,1983,8.0,,1983,8.0,,41.0,,41.0,,,,
20,Flood,,Bangladesh,Eastern,1984,5.0,,1984,5.0,,1200.0,,1200.0,,30000000.0,,30000000.0
21,Flood,Riverine flood,Bangladesh,"Maulvibazar, Sylhet district",1985,6.0,,1985,6.0,,7.0,,7.0,,100000.0,,100000.0
22,Flood,,Bangladesh,"Rangpur, Kurigram a Nil district",1985,7.0,5.0,1985,7.0,5.0,27.0,,27.0,,400000.0,,400000.0
23,Flood,Riverine flood,Bangladesh,Rajshahi district,1986,8.0,2.0,1986,8.0,2.0,4.0,,4.0,,100000.0,,100000.0
24,Flood,,Bangladesh,Chapai,1986,8.0,7.0,1986,8.0,7.0,26.0,,26.0,,,300000.0,300000.0
25,Flood,Riverine flood,Bangladesh,"Rangpur, Netrokona, Gaibandha, Noagaon, Kurigram, Jamlpur, Cox's Bazar, Chittagong, Noahkali districts",1987,7.0,22.0,1987,7.0,22.0,2055.0,,2055.0,,29700000.0,,29700000.0
26,Flood,,Bangladesh,,1987,8.0,,1987,8.0,,225.0,,225.0,,,,
27,Flood,Riverine flood,Bangladesh,"Sunamganj, Netrokona, Satkhira, Bogra, Moulavibazar, Habaganj, Rangpur",1988,7.0,,1988,7.0,,61.0,,61.0,,,,
28,Flood,,Bangladesh,,1988,6.0,,1988,9.0,,2379.0,,2379.0,,45000000.0,,45000000.0
29,Flood,Riverine flood,Bangladesh,"Sylhet,Bandarban, Cox's Bazar, Chittagong district,",1989,8.0,14.0,1989,8.0,14.0,180.0,,180.0,,200000.0,,200000.0
30,Flood,Riverine flood,Bangladesh,"Habiganj district, Noakhali District (North Eastern)",1990,3.0,24.0,1990,3.0,30.0,166.0,,166.0,1600.0,10000.0,,11600.0
31,Flood,Riverine flood,Bangladesh,"Rajshabi division, Sirajganj, Jamalpur, Bogra, Pabna",1990,7.0,14.0,1990,9.0,6.0,65.0,,65.0,,2000000.0,,2000000.0
